Merchant,Country,Location,Day,Local Time,Local Currency,Local Currency Transaction Value,Card Currency,Payment Amount,Margin Income F,Margin Income A
PaySphere,China,Shenzhen,Monday,9:00,CNY,84.42,EUR,84.42,0.84,2.53
QuickServe,Denmark,Copenhagen,Thursday,22:00,DKK,451.35,AUD,273.55,2.74,8.21
FinEdge,Norway,Stavanger,Saturday,6:00,NOK,3584.57,GBP,4217.15,42.17,126.51
Transactly,Australia,Gold Coast,Monday,13:00,AUD,221,GBP,260,2.6,7.8
Cashwave,Thailand,Bangkok,Wednesday,2:00,THB,256.7,USD,233.37,2.33,7
NeoCommerce,Vietnam,Hai Phong,Monday,8:00,VND,23.98,EUR,23.98,0.24,0.72
EuroLink,Netherlands,Groningen,Saturday,11:00,EUR,33.98,GBP,39.98,0.4,1.2
SmartFunds,Denmark,Aalborg,Tuesday,18:00,DKK,4664.7,AUD,2827.09,28.27,84.81
TradeNova,Denmark,Aarhus,Monday,8:00,DKK,321.04,USD,291.85,2.92,8.76
NovaPay,Vietnam,Hai Phong,Monday,15:00,VND,485.37,EUR,485.37,4.85,14.56
BuyNet,China,Guangzhou,Thursday,11:00,CNY,360.91,EUR,360.91,3.61,10.83
FlexiPay,Switzerland,Bern,Wednesday,13:00,CHF,273.45,EUR,273.45,2.73,8.2
MerchantX,China,Shanghai,Friday,5:00,CNY,46.79,AUD,28.36,0.28,0.85
AlphaPay,Netherlands,Groningen,Saturday,13:00,EUR,32.23,AUD,19.54,0.2,0.59
GlobalMart,Norway,Bergen,Friday,19:00,NOK,240.28,AUD,145.62,1.46,4.37
PaySphere,Singapore,Singapore,Saturday,8:00,SGD,453.22,GBP,533.2,5.33,16
QuickServe,France,Strasbourg,Wednesday,13:00,EUR,1908.8,GBP,2245.65,22.46,67.37
FinEdge,Germany,Frankfurt,Wednesday,11:00,EUR,324.84,GBP,382.17,3.82,11.47
Transactly,Brazil,Salvador,Thursday,7:00,BRL,355.36,AED,87.74,0.88,2.63
Cashwave,Netherlands,Almere,Monday,17:00,EUR,185.33,USD,168.48,1.68,5.05
NeoCommerce,Malaysia,Ipoh,Monday,18:00,MYR,268.44,AUD,162.69,1.63,4.88
EuroLink,Mexico,Mexico City,Friday,12:00,MXN,356.95,GBP,419.94,4.2,12.6
SmartFunds,Italy,Bologna,Friday,22:00,EUR,65.48,GBP,77.03,0.77,2.31
TradeNova,Spain,Las Palmas,Friday,7:00,EUR,231.62,AED,57.19,0.57,1.72
NovaPay,UAE,Sharjah,Saturday,4:00,AED,459.84,GBP,540.99,5.41,16.23
BuyNet,Brazil,Fortaleza,Wednesday,20:00,BRL,199.79,USD,181.63,1.82,5.45
FlexiPay,India,Mumbai,Tuesday,2:00,INR,447.89,AUD,271.45,2.71,8.14
MerchantX,USA,Phoenix,Tuesday,2:00,USD,333.82,AED,82.43,0.82,2.47
AlphaPay,Spain,Malaga,Tuesday,6:00,EUR,137.25,AED,33.89,0.34,1.02
GlobalMart,Japan,Nagoya,Thursday,3:00,JPY,158.07,USD,143.7,1.44,4.31
PaySphere,India,Bangalore,Sunday,10:00,INR,407.47,EUR,407.47,4.07,12.22
QuickServe,Mexico,Puebla,Monday,16:00,MXN,4889.82,USD,4445.29,44.45,133.36
FinEdge,Netherlands,Rotterdam,Friday,20:00,EUR,322.03,GBP,378.86,3.79,11.37
Transactly,Singapore,Singapore,Sunday,9:00,SGD,446.7,GBP,525.53,5.26,15.77
Cashwave,Italy,Naples,Thursday,19:00,EUR,479.47,USD,435.88,4.36,13.08
NeoCommerce,Germany,Bremen,Saturday,23:00,EUR,22.12,AUD,13.4,0.13,0.4
EuroLink,Canada,Quebec City,Sunday,6:00,CAD,177.19,USD,161.08,1.61,4.83
SmartFunds,Singapore,Singapore,Tuesday,19:00,SGD,178.47,EUR,178.47,1.78,5.35
TradeNova,UK,Manchester,Tuesday,13:00,GBP,1410.1,AED,348.17,3.48,10.45
NovaPay,Vietnam,Ho Chi Minh City,Wednesday,14:00,VND,45.13,EUR,45.13,0.45,1.35
BuyNet,Italy,Naples,Friday,2:00,EUR,496.91,USD,451.74,4.52,13.55
FlexiPay,Germany,Cologne,Wednesday,15:00,EUR,40.7,AUD,24.67,0.25,0.74
MerchantX,Brazil,Rio de Janeiro,Saturday,14:00,BRL,324.16,AED,80.04,0.8,2.4
AlphaPay,Malaysia,Ipoh,Wednesday,13:00,MYR,169.79,USD,154.36,1.54,4.63
GlobalMart,Norway,Stavanger,Thursday,7:00,NOK,252.4,AUD,152.97,1.53,4.59
PaySphere,South Africa,Johannesburg,Tuesday,14:00,ZAR,255.22,GBP,300.25,3,9.01
QuickServe,Australia,Gold Coast,Sunday,15:00,AUD,458.32,GBP,539.2,5.39,16.18
FinEdge,Norway,Stavanger,Friday,21:00,NOK,299.93,GBP,352.86,3.53,10.59
Transactly,Germany,Cologne,Wednesday,20:00,EUR,310.86,GBP,365.71,3.66,10.97
Cashwave,Spain,Malaga,Friday,6:00,EUR,309.43,GBP,364.04,3.64,10.92
NeoCommerce,Netherlands,Almere,Saturday,10:00,EUR,354.52,AED,87.53,0.88,2.63
EuroLink,Norway,Stavanger,Wednesday,18:00,NOK,322.27,AED,79.57,0.8,2.39
SmartFunds,Denmark,Copenhagen,Saturday,23:00,DKK,280.17,AED,69.18,0.69,2.08
TradeNova,Spain,Valencia,Monday,12:00,EUR,2952.85,AED,729.1,7.29,21.87
NovaPay,Norway,Oslo,Wednesday,13:00,NOK,70.35,GBP,82.76,0.83,2.48
BuyNet,Japan,Sapporo,Saturday,21:00,JPY,434.86,GBP,511.6,5.12,15.35
FlexiPay,Germany,Dortmund,Friday,10:00,EUR,231.52,AUD,140.32,1.4,4.21
MerchantX,South Africa,Cape Town,Friday,15:00,ZAR,419.12,USD,381.02,3.81,11.43
AlphaPay,Malaysia,George Town,Friday,16:00,MYR,3642.42,AED,899.36,8.99,26.98
GlobalMart,UAE,Ajman,Saturday,14:00,AED,257.53,GBP,302.97,3.03,9.09
PaySphere,China,Chengdu,Monday,2:00,CNY,499.55,USD,454.14,4.54,13.62
QuickServe,India,Bangalore,Wednesday,8:00,INR,1719.11,AED,424.47,4.24,12.73
FinEdge,Ireland,Cork,Friday,22:00,EUR,595.91,AUD,361.16,3.61,10.83
Transactly,South Africa,Cape Town,Thursday,5:00,ZAR,63.36,USD,57.6,0.58,1.73
Cashwave,France,Nice,Thursday,21:00,EUR,11.54,GBP,13.58,0.14,0.41
NeoCommerce,South Africa,Port Elizabeth,Monday,12:00,ZAR,394.15,EUR,394.15,3.94,11.82
EuroLink,Germany,Berlin,Thursday,7:00,EUR,42.42,GBP,49.9,0.5,1.5
SmartFunds,UK,Liverpool,Saturday,15:00,GBP,188.98,USD,171.8,1.72,5.15
TradeNova,USA,Seattle,Thursday,2:00,USD,328.55,EUR,328.55,3.29,9.86
NovaPay,Mexico,Guadalajara,Wednesday,15:00,MXN,379.66,AUD,230.09,2.3,6.9
BuyNet,Sweden,Malmö,Tuesday,14:00,SEK,282.02,AED,69.63,0.7,2.09
FlexiPay,Australia,Adelaide,Thursday,7:00,AUD,425.77,GBP,500.91,5.01,15.03
MerchantX,Netherlands,Eindhoven,Thursday,21:00,EUR,86.9,AED,21.46,0.21,0.64
AlphaPay,Sweden,Västerås,Thursday,6:00,SEK,381.56,AED,94.21,0.94,2.83
GlobalMart,France,Paris,Tuesday,4:00,EUR,147.05,USD,133.68,1.34,4.01
PaySphere,Italy,Bologna,Friday,7:00,EUR,112.48,AUD,68.17,0.68,2.05
QuickServe,South Africa,Port Elizabeth,Sunday,20:00,ZAR,66.17,EUR,66.17,0.66,1.99
FinEdge,Thailand,Bangkok,Wednesday,14:00,THB,247.73,EUR,247.73,2.48,7.43
Transactly,UK,Bristol,Friday,13:00,GBP,2.24,AUD,1.36,0.01,0.04
Cashwave,Malaysia,Kuala Lumpur,Wednesday,22:00,MYR,2133.96,EUR,2133.96,21.34,64.02
NeoCommerce,Ireland,Galway,Tuesday,20:00,EUR,459.53,AUD,278.5,2.78,8.36
EuroLink,Netherlands,Breda,Thursday,8:00,EUR,162.15,USD,147.4,1.47,4.42
SmartFunds,UAE,Abu Dhabi,Saturday,17:00,AED,76.62,GBP,90.14,0.9,2.7
TradeNova,India,Bangalore,Friday,21:00,INR,357.91,AUD,216.91,2.17,6.51
NovaPay,UAE,Sharjah,Saturday,11:00,AED,230.98,EUR,230.98,2.31,6.93
BuyNet,Denmark,Aalborg,Saturday,16:00,DKK,1338.64,AED,330.53,3.31,9.92
FlexiPay,Ireland,Cork,Sunday,17:00,EUR,27.61,GBP,32.48,0.32,0.97
MerchantX,Italy,Naples,Monday,22:00,EUR,3238.75,AED,799.69,8,23.99
AlphaPay,Sweden,Stockholm,Monday,2:00,SEK,17.36,USD,15.78,0.16,0.47
GlobalMart,Netherlands,Rotterdam,Thursday,13:00,EUR,107.15,AUD,64.94,0.65,1.95
PaySphere,Malaysia,Ipoh,Saturday,11:00,MYR,51.71,AED,12.77,0.13,0.38
QuickServe,Spain,Seville,Saturday,7:00,EUR,322.28,AED,79.57,0.8,2.39
FinEdge,South Africa,Cape Town,Wednesday,9:00,ZAR,119.4,USD,108.54,1.09,3.26
Transactly,Mexico,Mexico City,Friday,14:00,MXN,348.76,AED,86.11,0.86,2.58
Cashwave,Vietnam,Hai Phong,Monday,13:00,VND,321.32,EUR,321.32,3.21,9.64
NeoCommerce,India,Mumbai,Monday,8:00,INR,297.43,AED,73.44,0.73,2.2
EuroLink,Germany,Stuttgart,Thursday,18:00,EUR,285.97,USD,259.98,2.6,7.8
SmartFunds,Spain,Zaragoza,Friday,11:00,EUR,248.51,GBP,292.37,2.92,8.77
TradeNova,Brazil,São Paulo,Saturday,18:00,BRL,2482.03,USD,2256.39,22.56,67.69
NovaPay,Japan,Sapporo,Wednesday,18:00,JPY,393.1,AED,97.06,0.97,2.91
BuyNet,Germany,Berlin,Saturday,21:00,EUR,65.96,GBP,77.6,0.78,2.33
FlexiPay,France,Lille,Wednesday,23:00,EUR,1460.1,USD,1327.37,13.27,39.82
MerchantX,Norway,Trondheim,Wednesday,7:00,NOK,312,GBP,367.06,3.67,11.01
AlphaPay,Sweden,Malmö,Friday,21:00,SEK,455.99,GBP,536.46,5.36,16.09
GlobalMart,China,Beijing,Friday,7:00,CNY,9.52,GBP,11.2,0.11,0.34
PaySphere,Switzerland,Basel,Tuesday,20:00,CHF,114.35,USD,103.96,1.04,3.12
QuickServe,UK,Manchester,Saturday,0:00,GBP,4251.88,USD,3865.35,38.65,115.96
FinEdge,Canada,Vancouver,Saturday,13:00,CAD,140.6,AED,34.72,0.35,1.04
Transactly,Germany,Düsseldorf,Monday,21:00,EUR,412.27,AUD,249.86,2.5,7.5
Cashwave,China,Beijing,Tuesday,14:00,CNY,134.21,AUD,81.34,0.81,2.44
NeoCommerce,Brazil,Salvador,Friday,18:00,BRL,36.85,EUR,36.85,0.37,1.11
EuroLink,Netherlands,Amsterdam,Monday,8:00,EUR,286.1,USD,260.09,2.6,7.8
SmartFunds,China,Guangzhou,Wednesday,9:00,CNY,198.99,EUR,198.99,1.99,5.97
TradeNova,Mexico,Tijuana,Sunday,0:00,MXN,326.63,EUR,326.63,3.27,9.8
NovaPay,Switzerland,Lausanne,Sunday,12:00,CHF,230.06,AUD,139.43,1.39,4.18
BuyNet,Australia,Hobart,Tuesday,23:00,AUD,37.81,EUR,37.81,0.38,1.13
FlexiPay,Netherlands,Groningen,Thursday,18:00,EUR,4063.41,AED,1003.31,10.03,30.1
MerchantX,Sweden,Malmö,Tuesday,6:00,SEK,104.88,USD,95.34,0.95,2.86
AlphaPay,Canada,Hamilton,Monday,18:00,CAD,400.83,AED,98.97,0.99,2.97
GlobalMart,Ireland,Waterford,Monday,21:00,EUR,171.22,USD,155.65,1.56,4.67
PaySphere,Thailand,Chiang Mai,Wednesday,21:00,THB,340.85,EUR,340.85,3.41,10.23
QuickServe,USA,Austin,Thursday,19:00,USD,4971.86,EUR,4971.86,49.72,149.16
FinEdge,Malaysia,Johor Bahru,Wednesday,22:00,MYR,230.57,EUR,230.57,2.31,6.92
Transactly,India,Hyderabad,Monday,14:00,INR,372.4,EUR,372.4,3.72,11.17
Cashwave,Sweden,Uppsala,Tuesday,1:00,SEK,236.8,AED,58.47,0.58,1.75
NeoCommerce,Japan,Fukuoka,Monday,15:00,JPY,31.11,AUD,18.85,0.19,0.57
EuroLink,USA,Dallas,Tuesday,17:00,USD,1752.86,GBP,2062.19,20.62,61.87
SmartFunds,Thailand,Pattaya,Wednesday,0:00,THB,211.98,EUR,211.98,2.12,6.36
TradeNova,South Africa,Durban,Sunday,12:00,ZAR,110.21,EUR,110.21,1.1,3.31
NovaPay,Vietnam,Hanoi,Wednesday,7:00,VND,102.12,AED,25.22,0.25,0.76
BuyNet,Singapore,Singapore,Tuesday,9:00,SGD,264.06,EUR,264.06,2.64,7.92
FlexiPay,Switzerland,Geneva,Saturday,3:00,CHF,160.49,EUR,160.49,1.6,4.81
MerchantX,Italy,Bologna,Tuesday,8:00,EUR,146.73,AED,36.23,0.36,1.09
AlphaPay,Norway,Bergen,Wednesday,7:00,NOK,338.86,USD,308.06,3.08,9.24
GlobalMart,Switzerland,Geneva,Wednesday,7:00,CHF,262.13,AED,64.72,0.65,1.94
PaySphere,South Africa,Durban,Monday,7:00,ZAR,208.56,USD,189.6,1.9,5.69
QuickServe,Japan,Sapporo,Wednesday,11:00,JPY,38.61,USD,35.1,0.35,1.05
FinEdge,Malaysia,George Town,Wednesday,21:00,MYR,391.72,EUR,391.72,3.92,11.75
Transactly,Denmark,Copenhagen,Saturday,12:00,DKK,358.78,EUR,358.78,3.59,10.76
Cashwave,UAE,Al Ain,Wednesday,22:00,AED,276.36,AUD,167.49,1.67,5.02
NeoCommerce,USA,Houston,Wednesday,22:00,USD,29.37,GBP,34.55,0.35,1.04
EuroLink,China,Shanghai,Friday,17:00,CNY,278.87,AED,68.86,0.69,2.07
SmartFunds,Germany,Berlin,Wednesday,6:00,EUR,258.41,USD,234.91,2.35,7.05
TradeNova,Switzerland,Basel,Tuesday,9:00,CHF,341.86,EUR,341.86,3.42,10.26
NovaPay,UAE,Sharjah,Monday,0:00,AED,94.73,USD,86.12,0.86,2.58
BuyNet,Brazil,Fortaleza,Thursday,2:00,BRL,386.83,EUR,386.83,3.87,11.6
FlexiPay,Norway,Bergen,Wednesday,8:00,NOK,402.25,AED,99.32,0.99,2.98
MerchantX,Singapore,Singapore,Monday,6:00,SGD,3686.46,GBP,4337.01,43.37,130.11
AlphaPay,Japan,Fukuoka,Saturday,9:00,JPY,426.09,USD,387.35,3.87,11.62
GlobalMart,Sweden,Uppsala,Friday,11:00,SEK,476.72,AUD,288.92,2.89,8.67
PaySphere,Norway,Oslo,Monday,12:00,NOK,410.6,USD,373.28,3.73,11.2
QuickServe,UK,Manchester,Wednesday,8:00,GBP,152.93,EUR,152.93,1.53,4.59
FinEdge,Malaysia,Kuching,Sunday,20:00,MYR,464.12,EUR,464.12,4.64,13.92
Transactly,Japan,Tokyo,Monday,14:00,JPY,355.46,USD,323.15,3.23,9.69
Cashwave,China,Beijing,Wednesday,20:00,CNY,187.42,AUD,113.59,1.14,3.41
NeoCommerce,Japan,Fukuoka,Monday,23:00,JPY,223.45,AED,55.17,0.55,1.66
EuroLink,Japan,Tokyo,Tuesday,6:00,JPY,1227.13,GBP,1443.68,14.44,43.31
SmartFunds,Brazil,São Paulo,Sunday,18:00,BRL,408.81,EUR,408.81,4.09,12.26
TradeNova,South Africa,Durban,Wednesday,13:00,ZAR,109.36,EUR,109.36,1.09,3.28
NovaPay,India,Ahmedabad,Wednesday,20:00,INR,342.45,AUD,207.55,2.08,6.23
BuyNet,Italy,Rome,Monday,13:00,EUR,164.42,GBP,193.44,1.93,5.8
FlexiPay,Sweden,Västerås,Tuesday,14:00,SEK,189.8,AED,46.86,0.47,1.41
MerchantX,South Africa,Johannesburg,Wednesday,20:00,ZAR,2898.97,AUD,1756.95,17.57,52.71
AlphaPay,India,Bangalore,Thursday,8:00,INR,249.05,AUD,150.94,1.51,4.53
GlobalMart,Netherlands,Groningen,Thursday,16:00,EUR,210.7,AUD,127.69,1.28,3.83
PaySphere,Mexico,Guadalajara,Saturday,15:00,MXN,274.04,USD,249.13,2.49,7.47
QuickServe,Canada,Hamilton,Wednesday,14:00,CAD,347.93,GBP,409.33,4.09,12.28
FinEdge,Italy,Milan,Saturday,8:00,EUR,411.82,GBP,484.49,4.84,14.53
Transactly,Thailand,Chiang Mai,Saturday,12:00,THB,27,AUD,16.36,0.16,0.49
Cashwave,USA,Phoenix,Sunday,0:00,USD,481.39,AED,118.86,1.19,3.57
NeoCommerce,China,Shanghai,Wednesday,21:00,CNY,2.07,AUD,1.25,0.01,0.04
EuroLink,Sweden,Gothenburg,Friday,10:00,SEK,391.87,AED,96.76,0.97,2.9
SmartFunds,Mexico,Guadalajara,Wednesday,0:00,MXN,393.08,AED,97.06,0.97,2.91
TradeNova,Germany,Dortmund,Monday,8:00,EUR,470.63,AED,116.21,1.16,3.49
NovaPay,France,Marseille,Tuesday,18:00,EUR,72.65,USD,66.05,0.66,1.98
BuyNet,Australia,Darwin,Thursday,10:00,AUD,376.18,GBP,442.56,4.43,13.28
FlexiPay,UK,Birmingham,Saturday,16:00,GBP,110.07,EUR,110.07,1.1,3.3
MerchantX,Brazil,Rio de Janeiro,Wednesday,13:00,BRL,967.19,GBP,1137.87,11.38,34.14
AlphaPay,UK,Liverpool,Friday,14:00,GBP,2678.61,AUD,1623.4,16.23,48.7
GlobalMart,Thailand,Pattaya,Monday,8:00,THB,2324.99,USD,2113.63,21.14,63.41
PaySphere,Vietnam,Can Tho,Sunday,7:00,VND,192.46,USD,174.97,1.75,5.25
QuickServe,UAE,Ajman,Tuesday,8:00,AED,2696.11,AUD,1634.01,16.34,49.02
FinEdge,India,Ahmedabad,Sunday,13:00,INR,360.64,USD,327.85,3.28,9.84
Transactly,Italy,Verona,Saturday,10:00,EUR,366.39,AUD,222.06,2.22,6.66
Cashwave,Denmark,Aalborg,Wednesday,9:00,DKK,44.22,EUR,44.22,0.44,1.33
NeoCommerce,Mexico,Tijuana,Thursday,1:00,MXN,158.8,AUD,96.24,0.96,2.89
EuroLink,Australia,Brisbane,Friday,9:00,AUD,1066.55,GBP,1254.77,12.55,37.64
SmartFunds,Netherlands,Breda,Monday,5:00,EUR,432.01,GBP,508.25,5.08,15.25
TradeNova,Brazil,Fortaleza,Tuesday,22:00,BRL,2982.8,EUR,2982.8,29.83,89.48
NovaPay,Denmark,Copenhagen,Tuesday,6:00,DKK,218.76,USD,198.87,1.99,5.97
BuyNet,South Africa,Durban,Saturday,16:00,ZAR,487.4,USD,443.09,4.43,13.29
FlexiPay,UAE,Abu Dhabi,Tuesday,23:00,AED,81.39,AUD,49.32,0.49,1.48
MerchantX,Brazil,São Paulo,Saturday,19:00,BRL,1963.84,AED,484.9,4.85,14.55
AlphaPay,Norway,Stavanger,Monday,21:00,NOK,463.44,USD,421.31,4.21,12.64
GlobalMart,Sweden,Malmö,Tuesday,14:00,SEK,482.01,AED,119.01,1.19,3.57
PaySphere,Vietnam,Hanoi,Friday,14:00,VND,319.94,USD,290.85,2.91,8.73
QuickServe,Norway,Stavanger,Monday,16:00,NOK,47.41,USD,43.1,0.43,1.29
FinEdge,Brazil,Fortaleza,Monday,10:00,BRL,283.41,AED,69.98,0.7,2.1
Transactly,Spain,Madrid,Tuesday,13:00,EUR,70.07,AUD,42.47,0.42,1.27
Cashwave,Malaysia,Ipoh,Tuesday,17:00,MYR,130.43,EUR,130.43,1.3,3.91
NeoCommerce,Australia,Canberra,Thursday,4:00,AUD,255.67,EUR,255.67,2.56,7.67
EuroLink,Norway,Stavanger,Monday,22:00,NOK,425.56,USD,386.87,3.87,11.61
SmartFunds,UK,Belfast,Friday,1:00,GBP,250.5,USD,227.72,2.28,6.83
TradeNova,Mexico,Mexico City,Monday,13:00,MXN,254.27,USD,231.15,2.31,6.93
NovaPay,Japan,Tokyo,Saturday,22:00,JPY,180.32,AUD,109.29,1.09,3.28
BuyNet,South Africa,Durban,Tuesday,11:00,ZAR,454.35,GBP,534.53,5.35,16.04
FlexiPay,Spain,Valencia,Monday,21:00,EUR,411.85,AED,101.69,1.02,3.05
MerchantX,Thailand,Hat Yai,Thursday,1:00,THB,3150.56,EUR,3150.56,31.51,94.52
AlphaPay,Vietnam,Hai Phong,Saturday,5:00,VND,413.68,EUR,413.68,4.14,12.41
GlobalMart,Ireland,Galway,Wednesday,19:00,EUR,287.94,AED,71.1,0.71,2.13
PaySphere,Sweden,Malmö,Saturday,8:00,SEK,55.87,GBP,65.73,0.66,1.97
QuickServe,Switzerland,Lausanne,Tuesday,15:00,CHF,441.48,EUR,441.48,4.41,13.24
FinEdge,Vietnam,Da Nang,Saturday,3:00,VND,33.98,AED,8.39,0.08,0.25
Transactly,UAE,Al Ain,Tuesday,13:00,AED,23.22,EUR,23.22,0.23,0.7
Cashwave,Sweden,Gothenburg,Friday,21:00,SEK,137.25,AED,33.89,0.34,1.02
NeoCommerce,Sweden,Västerås,Sunday,8:00,SEK,280.59,USD,255.08,2.55,7.65
EuroLink,China,Chengdu,Wednesday,9:00,CNY,492.03,GBP,578.86,5.79,17.37
SmartFunds,Australia,Adelaide,Thursday,7:00,AUD,342.68,GBP,403.16,4.03,12.09
TradeNova,Ireland,Cork,Saturday,21:00,EUR,188.37,AED,46.51,0.47,1.4
NovaPay,Germany,Cologne,Tuesday,21:00,EUR,281.15,USD,255.59,2.56,7.67
BuyNet,India,Ahmedabad,Sunday,5:00,INR,109.78,USD,99.8,1,2.99
FlexiPay,Italy,Turin,Saturday,14:00,EUR,43.68,USD,39.71,0.4,1.19
MerchantX,Australia,Sydney,Monday,18:00,AUD,3956.45,EUR,3956.45,39.56,118.69
AlphaPay,Ireland,Limerick,Tuesday,23:00,EUR,175.66,GBP,206.66,2.07,6.2
GlobalMart,Italy,Naples,Thursday,18:00,EUR,359,AUD,217.57,2.18,6.53
PaySphere,USA,Austin,Tuesday,15:00,USD,189.05,AUD,114.58,1.15,3.44
QuickServe,Netherlands,Amsterdam,Monday,9:00,EUR,80.75,AED,19.94,0.2,0.6
FinEdge,Malaysia,Ipoh,Friday,8:00,MYR,424.81,EUR,424.81,4.25,12.74
Transactly,Germany,Cologne,Monday,18:00,EUR,351.67,GBP,413.73,4.14,12.41
Cashwave,Singapore,Singapore,Thursday,10:00,SGD,106.62,EUR,106.62,1.07,3.2
NeoCommerce,USA,Phoenix,Wednesday,11:00,USD,264.84,AUD,160.51,1.61,4.82
EuroLink,Netherlands,The Hague,Wednesday,7:00,EUR,4611.23,AUD,2794.69,27.95,83.84
SmartFunds,China,Beijing,Friday,3:00,CNY,456.42,AED,112.7,1.13,3.38
TradeNova,France,Bordeaux,Monday,7:00,EUR,413.77,USD,376.15,3.76,11.28
NovaPay,Spain,Malaga,Thursday,22:00,EUR,120.21,AED,29.68,0.3,0.89
BuyNet,Spain,Malaga,Wednesday,19:00,EUR,115.25,AED,28.46,0.28,0.85
FlexiPay,Mexico,Monterrey,Tuesday,8:00,MXN,414.33,USD,376.67,3.77,11.3
MerchantX,UAE,Dubai,Tuesday,2:00,AED,95,EUR,95,0.95,2.85
AlphaPay,South Africa,Durban,Thursday,11:00,ZAR,283.61,EUR,283.61,2.84,8.51
GlobalMart,Denmark,Odense,Tuesday,6:00,DKK,3054.82,AUD,1851.41,18.51,55.54
PaySphere,Thailand,Pattaya,Thursday,19:00,THB,3366.51,AED,831.24,8.31,24.94
QuickServe,Thailand,Hat Yai,Thursday,13:00,THB,2449.82,EUR,2449.82,24.5,73.49
FinEdge,Japan,Nagoya,Thursday,12:00,JPY,195.53,AUD,118.5,1.18,3.56
Transactly,Brazil,Brasilia,Wednesday,3:00,BRL,252.15,EUR,252.15,2.52,7.56
Cashwave,Mexico,Monterrey,Monday,5:00,MXN,436.88,EUR,436.88,4.37,13.11
NeoCommerce,Spain,Barcelona,Wednesday,14:00,EUR,61.09,AUD,37.02,0.37,1.11
EuroLink,Denmark,Esbjerg,Tuesday,0:00,DKK,326.18,AED,80.54,0.81,2.42
SmartFunds,Mexico,Guadalajara,Monday,13:00,MXN,689.71,USD,627.01,6.27,18.81
TradeNova,Canada,Ottawa,Friday,7:00,CAD,203.14,EUR,203.14,2.03,6.09
NovaPay,Switzerland,Basel,Monday,8:00,CHF,38.42,USD,34.93,0.35,1.05
BuyNet,Japan,Osaka,Thursday,5:00,JPY,29.9,EUR,29.9,0.3,0.9
FlexiPay,Sweden,Gothenburg,Saturday,14:00,SEK,156.24,GBP,183.81,1.84,5.51
MerchantX,UAE,Dubai,Tuesday,6:00,AED,51.97,GBP,61.14,0.61,1.83
AlphaPay,UAE,Dubai,Wednesday,2:00,AED,52.3,GBP,61.52,0.62,1.85
GlobalMart,Mexico,Tijuana,Wednesday,18:00,MXN,179.26,GBP,210.9,2.11,6.33
PaySphere,USA,Seattle,Saturday,9:00,USD,223.22,AUD,135.29,1.35,4.06
QuickServe,Canada,Edmonton,Wednesday,22:00,CAD,407.67,AED,100.66,1.01,3.02
FinEdge,Malaysia,Kuala Lumpur,Tuesday,17:00,MYR,191.95,EUR,191.95,1.92,5.76
Transactly,Japan,Fukuoka,Thursday,13:00,JPY,2192.29,EUR,2192.29,21.92,65.77
Cashwave,Canada,Montreal,Sunday,17:00,CAD,488.42,USD,444.02,4.44,13.32
NeoCommerce,Netherlands,Breda,Monday,7:00,EUR,179.65,AED,44.36,0.44,1.33
EuroLink,Ireland,Waterford,Wednesday,12:00,EUR,490.92,AUD,297.53,2.98,8.93
SmartFunds,Netherlands,Utrecht,Monday,8:00,EUR,353.56,AUD,214.28,2.14,6.43
TradeNova,Malaysia,Johor Bahru,Sunday,4:00,MYR,54.83,AUD,33.23,0.33,1
NovaPay,China,Guangzhou,Thursday,0:00,CNY,448.25,AED,110.68,1.11,3.32
BuyNet,Denmark,Odense,Wednesday,16:00,DKK,456.7,EUR,456.7,4.57,13.7
FlexiPay,Norway,Trondheim,Tuesday,20:00,NOK,70.2,AED,17.33,0.17,0.52
MerchantX,Netherlands,Utrecht,Tuesday,2:00,EUR,201.63,AED,49.78,0.5,1.49
AlphaPay,UK,Leeds,Thursday,9:00,GBP,328.22,EUR,328.22,3.28,9.85
GlobalMart,Italy,Palermo,Saturday,14:00,EUR,4397.08,AED,1085.7,10.86,32.57
PaySphere,Switzerland,Zurich,Friday,11:00,CHF,168.13,USD,152.85,1.53,4.59
QuickServe,USA,Miami,Sunday,6:00,USD,257.19,EUR,257.19,2.57,7.72
FinEdge,Malaysia,Kuching,Monday,21:00,MYR,298.99,GBP,351.75,3.52,10.55
Transactly,France,Paris,Monday,7:00,EUR,1164.31,AED,287.49,2.87,8.62
Cashwave,Mexico,Monterrey,Tuesday,13:00,MXN,493.07,GBP,580.09,5.8,17.4
NeoCommerce,Australia,Newcastle,Wednesday,8:00,AUD,206.68,USD,187.89,1.88,5.64
EuroLink,Mexico,Puebla,Thursday,11:00,MXN,489.21,AUD,296.49,2.96,8.89
SmartFunds,UAE,Ajman,Thursday,11:00,AED,184.28,USD,167.53,1.68,5.03
TradeNova,South Africa,Port Elizabeth,Wednesday,7:00,ZAR,352.37,AED,87.01,0.87,2.61
NovaPay,Denmark,Odense,Friday,14:00,DKK,253,GBP,297.64,2.98,8.93
BuyNet,France,Paris,Monday,3:00,EUR,405.56,USD,368.69,3.69,11.06
FlexiPay,Switzerland,Zurich,Wednesday,12:00,CHF,119.02,GBP,140.02,1.4,4.2
MerchantX,Spain,Madrid,Saturday,13:00,EUR,479.83,AED,118.48,1.18,3.55
